Node,Degree
0,109
1,76
512,75
4,74
32,72
2,70
256,69
2048,69
64,65
128,65
4096,64
16,63
8,62
258,62
4352,62
8192,61
1024,59
768,56
1280,54
20,54
48,50
2304,50
264,50
12,50
36,49
132,49
288,48
8196,48
260,48
24,47
144,47
640,47
2049,46
2560,46
257,46
320,46
528,45
2336,45
1032,45
1088,45
514,45
72,45
240,45
272,44
40,44
4112,44
576,43
129,43
4104,42
3072,42
8200,42
8208,40
136,40
2816,40
33,40
9,40
4097,39
17,39
160,39
1028,39
148,38
2080,38
18,38
2056,38
3,38
1344,38
4224,38
4160,38
4098,38
516,38
2320,38
8704,37
3344,37
2050,37
384,37
4608,37
130,37
2288,36
520,36
3088,36
8256,36
4624,36
1040,36
2576,36
368,35
336,35
4864,35
1056,35
592,35
9216,35
1296,35
513,35
96,35
2564,35
1026,35
2352,35
65,35
5,34
1025,34
385,34
2068,34
68,34
776,34
290,34
8193,34
560,34
544,34
1152,34
80,33
5124,33
1156,33
34,33
8448,33
168,33
4100,33
1044,33
1064,33
2052,33
2368,33
304,33
4128,32
784,32
2064,32
4360,32
656,32
4612,32
2561,32
2305,32
2312,32
532,32
2562,32
2432,31
6400,31
2177,31
273,31
8384,31
262,31
266,31
1282,31
11,30
2306,30
386,30
2416,30
69,30
1540,30
192,30
194,30
3104,30
2290,30
644,30
496,30
6144,30
4480,30
2308,29
1030,29
5136,29
1552,29
8224,29
4336,29
2066,29
561,29
4136,29
5376,29
392,29
1058,29
274,29
1060,29
1536,29
4144,29
880,29
4368,29
2112,29
3076,28
4353,28
244,28
2321,28
296,28
4113,28
208,28
1584,28
641,28
3073,28
772,28
8320,28
6160,28
10,28
241,28
624,28
6,28
8226,27
324,27
530,27
50,27
73,27
276,27
26,27
1568,27
4161,27
8194,27
1029,27
2084,27
137,27
2096,27
2496,27
28,26
22,26
1216,26
145,26
800,26
4384,26
517,26
642,26
536,26
752,26
6208,26
1072,26
66,26
2289,26
1041,26
8198,26
8736,26
224,26
2176,26
308,26
2081,25
2544,25
400,25
420,25
4400,25
6176,25
416,25
176,25
3312,25
8201,25
2296,25
3328,25
4672,25
2688,25
352,25
5632,25
112,25
2293,25
3360,25
133,25
608,25
76,25
832,25
3600,25
41,24
1537,24
1264,24
1288,24
4114,24
3584,24
146,24
2818,24
4896,24
292,24
8708,24
2088,24
1096,24
4256,24
8321,24
2208,24
1154,24
1153,24
2337,24
2370,24
2065,24
4132,24
8452,24
4736,24
259,24
1792,24
8209,24
280,24
8202,24
578,24
248,24
321,24
5121,24
2864,23
816,23
4116,23
305,23
268,23
1360,23
6272,23
370,23
2640,23
4354,23
4640,23
140,23
2568,23
524,23
2328,23
4102,23
754,23
521,23
1800,23
8706,23
548,23
329,23
1664,23
2608,23
6145,23
5120,23
448,23
2180,23
4416,23
2592,23
648,23
4688,23
1544,23
769,23
306,22
3336,22
1556,22
49,22
2116,22
1168,22
164,22
1316,22
424,22
2060,22
100,22
4512,22
2580,22
2596,22
1328,22
546,22
388,22
289,22
131,22
74,22
4848,22
4488,22
322,22
1106,22
4610,22
4385,22
1120,22
4226,22
6148,22
1008,22
584,22
2624,22
770,22
8264,22
545,22
153,21
4928,21
278,21
4482,21
896,21
4099,21
193,21
2880,21
81,21
1281,21
88,21
56,21
37,21
52,21
2696,21
2720,21
976,21
8258,21
2752,21
8212,21
600,21
8225,21
1600,21
8204,21
2314,21
2240,21
6146,21
265,21
138,21
9218,21
340,21
354,21
3320,21
3168,21
1089,21
1092,21
116,21
4192,21
4232,21
8197,21
1424,21
7168,21
4162,21
2448,21
390,21
529,21
2480,21
1034,21
676,21
1312,21
664,21
3120,21
3136,21
104,21
2322,21
518,21
2054,21
432,21
200,21
1176,21
2114,21
2372,21
4101,21
5888,21
19,20
13,20
2360,20
2376,20
440,20
2324,20
102,20
8705,20
1793,20
1808,20
372,20
2584,20
2577,20
5184,20
564,20
8195,20
97,20
5152,20
2632,20
2248,20
2292,20
330,20
4992,20
9344,20
8232,20
4288,20
3440,20
312,20
2824,20
2840,20
2834,20
2832,20
1538,20
2136,20
9476,20
897,20
912,20
8272,20
281,20
9220,20
1408,20
8328,20
8322,20
8450,20
8385,20
245,20
4356,20
1300,20
3090,20
658,20
8456,20
4376,20
1220,20
2082,20
4108,19
4106,19
82,19
25,19
70,19
6150,19
788,19
792,19
1033,19
9224,19
2417,19
4362,19
753,19
2354,19
8772,19
450,19
8216,19
5123,19
5122,19
8211,19
3075,19
8273,19
581,19
848,19
6656,19
550,19
2600,19
2566,19
180,19
4370,19
4408,19
2440,19
1192,19
1184,19
3200,19
3202,19
4456,19
8210,19
243,19
1392,19
1313,19
4618,19
4616,19
577,19
1298,19
1297,19
9280,19
1284,19
2800,19
9472,19
8290,19
1542,19
2932,19
2058,19
84,19
2817,19
5648,19
6154,18
2340,18
2344,18
778,18
4105,18
3712,18
4120,18
6152,18
408,18
4355,18
552,18
4170,18
1045,18
2353,18
418,18
1036,18
2400,18
8738,18
8776,18
2184,18
